dia_semana;dia;mes;periodo;hora;genero;comuna;modalidad;label_modalidad;arma_medio;label_arma;movil_agresor;label_agresor;movil_victima;label_victima;edad;conducta;lat;lon
miercoles;4;5;2017;7;sin dato;central;ventosa;40;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.92796;-75.286621
miercoles;4;5;2017;13;masculino;sur;halado;15;llave maestra;9;a pie;1;a pie;1;22;hurto de motos;2.908991;-75.274467
miercoles;4;5;2017;19;femenino;oriental;atraco;4;arma de fuego;2;motocicleta;7;motocicleta;7;22;hurto de motos;2.940498;-75.26865
jueves;5;5;2017;19;femenino;las palmas;atraco;4;arma blanca;1;a pie;1;a pie;1;23;hurto a personas;2.947179;-75.257497
jueves;5;5;2017;21;femenino;la floresta;atraco;4;arma de fuego;2;a pie;1;vehiculo;15;24;hurto a personas;2.927763;-75.264617
jueves;5;5;2017;19;masculino;entre rios;atraco;4;arma blanca;1;taxi;15;conductor taxi;5;36;hurto a personas;2.935378;-75.294883
jueves;5;5;2017;19;masculino;nororiental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;55;hurto a personas;2.96045;-75.284146
jueves;5;5;2017;19;masculino;entre rios;llave maestra;18;llave maestra;9;motocicleta;7;a pie;1;0;hurto a residencias;2.935378;-75.294883
jueves;5;5;2017;9;sin dato;entre rios;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.935378;-75.294883
jueves;5;5;2017;17;sin dato;central;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;0;hurto a comercio;2.92796;-75.286621
viernes;6;5;2017;5;femenino;suroriental;raponazo;25;sin empleo de arma;15;motocicleta;7;motocicleta;7;27;hurto a personas;2.9231;-75.266481
viernes;6;5;2017;16;masculino;suroriental;atraco;4;arma blanca;1;a pie;1;a pie;1;38;hurto a personas;2.9231;-75.266481
viernes;6;5;2017;18;femenino;entre rios;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;42;hurto a personas;2.935378;-75.294883
viernes;6;5;2017;5;femenino;la floresta;violacion cerraduras;42;contundente;4;a pie;1;a pie;1;0;hurto a residencias;2.927763;-75.264617
sabado;7;5;2017;14;masculino;central;atraco;4;contundente;4;motocicleta;7;a pie;1;24;hurto a personas;2.92796;-75.286621
sabado;7;5;2017;21;femenino;entre rios;factor de oportunidad;13;arma blanca;1;motocicleta;7;a pie;1;25;hurto a personas;2.935378;-75.294883
sabado;7;5;2017;22;masculino;las palmas;atraco;4;arma blanca;1;motocicleta;7;motocicleta;7;31;hurto a personas;2.947179;-75.257497
sabado;7;5;2017;12;femenino;noroccidental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;37;hurto a personas;2.95476;-75.297625
sabado;7;5;2017;20;masculino;suroriental;atraco;4;arma de fuego;2;a pie;1;a pie;1;43;hurto a personas;2.9231;-75.266481
sabado;7;5;2017;15;masculino;corregimiento fortalecillas;atraco;4;arma de fuego;2;taxi;15;conductor taxi;5;63;hurto a personas;3.037168;-75.250825
sabado;7;5;2017;7;masculino;sur;atraco;4;arma de fuego;2;a pie;1;a pie;1;0;hurto a residencias;2.908991;-75.274467
sabado;7;5;2017;11;femenino;norte;ventosa;40;contundente;4;a pie;1;a pie;1;0;hurto a residencias;2.920993;-75.268685
sabado;7;5;2017;21;sin dato;entre rios;factor de oportunidad;13;contundente;4;a pie;1;a pie;1;0;hurto a comercio;2.935378;-75.294883
domingo;1;5;2017;2;masculino;oriental;atraco;4;arma blanca;1;a pie;1;a pie;1;0;hurto a personas;2.940498;-75.26865
domingo;1;5;2017;5;femenino;noroccidental;factor de oportunidad;13;sin empleo de arma;15;a pie;1;a pie;1;32;hurto a personas;2.95476;-75.297625
domingo;1;5;2017;10;femenino;sur;factor de oportunidad;13;contundente;4;a pie;1;a pie;1;51;hurto a personas;2.908991;-75.274467
